HouseholdId,PersonNumber,Age,Sex,License,TransitPass,EmploymentStatus,Occupation,FreeParking,StudentStatus,EmploymentZone,SchoolZone,ExpansionFactor
10346,3,29,M,Y,N,F,M,O,O,758.0,0.0,22.025993533690485
10346,4,28,F,Y,N,O,O,O,O,0.0,0.0,22.025993533690485
10346,5,14,F,N,N,O,O,O,S,0.0,752.0,22.025993533690485
10346,6,13,M,N,N,O,O,O,S,0.0,752.0,22.025993533690485
10347,1,52,M,Y,N,F,M,O,O,751.0,0.0,23.070927532314585
10347,2,50,F,Y,N,O,O,O,O,0.0,0.0,23.070927532314585
10348,1,38,M,Y,N,F,S,O,O,758.0,0.0,18.945427827764085
10348,2,37,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10348,3,14,M,N,N,O,O,O,S,0.0,758.0,18.945427827764085
10349,1,42,M,Y,N,P,M,O,O,758.0,0.0,18.945427827764085
10349,2,40,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10350,1,80,M,Y,N,O,O,O,O,0.0,0.0,28.187124945543292
10350,2,70,F,Y,N,O,O,O,O,0.0,0.0,28.187124945543292
10350,3,47,F,Y,N,F,M,O,O,751.0,0.0,28.187124945543292
10350,4,45,F,Y,N,F,M,O,O,751.0,0.0,28.187124945543292
10351,1,46,M,Y,N,F,G,O,O,758.0,0.0,25.239913428483835
10351,2,44,F,Y,N,O,O,O,O,0.0,0.0,25.239913428483835
10352,1,48,M,Y,N,F,S,O,O,759.0,0.0,18.945427827764085
10352,2,45,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10353,1,25,M,Y,N,F,M,O,O,751.0,0.0,23.56627638665369
10353,2,24,F,Y,N,O,O,O,O,0.0,0.0,23.56627638665369
10353,3,45,F,Y,N,F,M,O,O,0.0,0.0,23.56627638665369
10353,4,8,M,N,N,O,O,O,S,0.0,751.0,23.56627638665369
10354,1,48,M,Y,N,F,S,O,O,304.0,0.0,26.827806804299534
10354,2,44,F,Y,N,O,O,O,O,0.0,0.0,26.827806804299534
10354,3,25,M,Y,N,F,M,O,O,752.0,0.0,26.827806804299534
10354,4,23,M,Y,N,F,M,O,O,752.0,0.0,26.827806804299534
10354,5,19,M,Y,N,O,O,O,S,0.0,748.0,26.827806804299534
10355,1,48,M,Y,N,F,M,O,O,698.0,0.0,25.10655923961689
10355,2,49,F,Y,N,O,O,O,O,0.0,0.0,25.10655923961689
10355,3,19,M,Y,N,F,S,O,O,757.0,0.0,25.10655923961689
10356,1,52,M,Y,N,F,M,O,O,751.0,0.0,21.158678742222506
10356,2,31,F,Y,N,F,M,O,O,751.0,0.0,21.158678742222506
10356,3,11,M,N,N,O,O,O,S,0.0,751.0,21.158678742222506
10356,4,8,M,N,N,O,O,O,S,0.0,751.0,21.158678742222506
10357,1,38,M,Y,N,F,P,O,O,748.0,0.0,26.092752780855147
10357,2,35,F,Y,N,O,O,O,O,0.0,0.0,26.092752780855147
10357,3,11,F,N,N,O,O,O,S,0.0,758.0,26.092752780855147
10357,4,7,F,N,N,O,O,O,S,0.0,758.0,26.092752780855147
10358,1,32,M,Y,N,F,P,O,O,692.0,0.0,25.239913428483835
10358,2,32,F,Y,N,O,O,O,O,0.0,0.0,25.239913428483835
10359,1,37,F,Y,N,F,M,O,O,581.0,0.0,24.876940278512652
10359,2,12,F,N,N,O,O,O,S,0.0,758.0,24.876940278512652
10360,1,36,M,Y,N,F,S,O,O,751.0,0.0,28.187124945543292
10360,2,34,F,Y,N,O,O,O,O,0.0,0.0,28.187124945543292
10361,1,56,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10361,2,47,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10362,1,42,M,Y,N,P,G,O,O,751.0,0.0,28.187124945543292
10362,2,40,F,Y,N,O,O,O,O,0.0,0.0,28.187124945543292
10363,1,54,M,Y,N,F,M,O,O,751.0,0.0,31.267690651469696
10363,2,40,M,Y,N,F,M,O,O,751.0,0.0,31.267690651469696
10363,3,11,M,N,N,O,O,O,S,0.0,752.0,31.267690651469696
10364,1,36,M,Y,N,F,P,O,O,751.0,0.0,25.10655923961689
10364,2,35,F,Y,N,O,O,O,O,0.0,0.0,25.10655923961689
10364,3,14,M,N,N,O,O,O,S,0.0,752.0,25.10655923961689
10364,4,11,F,N,N,O,O,O,S,0.0,752.0,25.10655923961689
10365,1,79,F,Y,N,O,O,O,O,0.0,0.0,27.19642723686508
10365,2,45,M,Y,N,O,O,O,O,0.0,0.0,27.19642723686508
10366,1,41,M,Y,N,F,M,O,O,751.0,0.0,23.56627638665369
10366,2,40,F,Y,N,O,O,O,O,0.0,0.0,23.56627638665369
10366,3,17,M,N,N,O,O,O,S,0.0,758.0,23.56627638665369
10366,4,15,F,N,N,O,O,O,S,0.0,758.0,23.56627638665369
10367,1,52,M,Y,N,F,P,O,O,462.0,0.0,255.74423756357496
10367,2,38,F,Y,N,F,P,O,O,423.0,0.0,255.74423756357496
10367,3,17,M,N,N,O,O,O,S,0.0,570.0,255.74423756357496
10368,1,72,F,Y,N,O,O,O,O,0.0,0.0,242.06807512702017
10368,2,50,F,Y,N,F,S,O,O,428.0,0.0,242.06807512702017
10369,1,66,M,Y,N,O,O,O,O,429.0,0.0,272.7818567948241
10369,2,64,F,Y,N,O,O,O,O,0.0,0.0,272.7818567948241
10369,3,28,M,Y,N,F,M,O,O,464.0,0.0,272.7818567948241
10370,1,69,M,Y,N,P,P,O,O,0.0,0.0,1.0
10371,1,40,F,Y,N,P,P,O,O,758.0,0.0,28.187124945543292
10371,2,19,F,Y,N,O,O,O,O,0.0,0.0,28.187124945543292
10371,3,14,M,N,N,O,O,O,S,0.0,758.0,28.187124945543292
10372,1,40,M,Y,N,F,M,O,O,751.0,0.0,25.10655923961689
10372,2,39,F,Y,N,O,O,O,O,0.0,0.0,25.10655923961689
10372,3,13,M,N,N,O,O,O,S,0.0,758.0,25.10655923961689
10372,4,10,F,N,N,O,O,O,S,0.0,758.0,25.10655923961689
10373,1,32,M,Y,N,F,M,O,O,751.0,0.0,22.30604496150198
