HouseholdId,PersonNumber,TripNumber,StartTime,Mode,PuposeOrigin,ZoneOrigin,PurposeDestination,ZoneDestination
152,1,2,930,W,M,538,H,538
154,1,1,800,B,H,538,W,538
154,1,2,1800,B,W,538,H,538
154,2,1,1000,W,H,538,M,538
154,2,2,1025,W,M,538,H,538
154,3,1,1400,B,H,538,W,270
154,3,2,0,B,W,270,H,538
155,1,1,910,W,H,538,M,538
155,1,2,920,W,M,538,H,538
156,1,1,800,C,H,538,W,535
156,1,2,1800,C,W,535,H,538
156,2,1,1200,W,H,538,M,538
156,2,2,1220,W,M,538,H,538
157,1,1,900,W,H,538,W,538
157,1,2,1900,W,W,538,H,538
157,2,1,830,W,H,538,F,538
157,2,2,900,W,F,538,H,538
158,1,1,700,B,H,538,W,270
158,1,2,1500,B,W,270,H,538
158,2,1,600,B,H,538,W,531
158,2,2,1800,B,W,531,H,538
159,1,1,940,W,H,538,O,538
159,1,2,1430,W,O,538,H,538
159,2,1,845,W,H,538,F,538
159,2,2,905,W,F,538,H,538
159,3,1,720,B,H,538,S,538
159,3,2,1315,B,S,538,H,538
160,1,1,700,W,H,538,W,538
160,1,2,1700,B,W,299,H,538
160,2,1,915,W,H,538,M,538
160,2,2,950,W,M,538,H,538
161,1,1,600,B,H,538,W,531
161,1,2,1700,B,W,531,H,538
161,2,1,800,B,H,538,W,535
161,2,2,1700,B,W,535,H,538
161,3,1,700,S,H,538,S,535
161,3,2,1330,S,S,535,H,538
162,1,1,1100,W,H,538,M,538
162,1,2,1120,W,M,538,H,538
163,1,1,1000,D,H,538,F,532
163,1,2,1035,D,F,532,H,538
164,1,1,830,C,H,538,M,538
164,1,2,850,C,M,538,H,538
164,2,1,1100,W,H,538,M,538
164,2,2,1125,W,M,538,H,538
165,1,1,810,W,H,538,M,538
165,1,2,800,W,M,538,H,538
166,1,1,730,W,H,538,W,538
166,1,2,1600,W,W,538,H,538
167,1,1,800,B,H,538,W,531
167,1,2,1630,B,W,531,H,538
167,3,1,800,O,H,538,W,296
167,3,2,1700,O,W,296,H,538
168,1,1,830,W,H,538,M,538
168,1,2,840,W,M,538,H,538
169,1,1,800,B,H,538,W,144
169,1,2,1800,B,W,144,H,538
169,2,1,600,B,H,538,W,281
169,2,2,1600,B,W,281,H,538
170,1,1,700,W,H,538,M,538
170,1,2,720,W,M,538,H,538
170,2,1,1430,B,H,538,W,296
170,2,2,2300,B,W,296,H,538
171,2,1,900,W,H,538,M,538
171,2,2,910,W,M,538,H,538
172,1,1,730,W,H,538,M,538
172,1,2,735,W,M,538,H,538
173,1,1,630,T,H,650,W,722
173,1,2,1300,T,W,722,H,650
173,2,1,650,D,H,650,S,614
173,2,2,1200,D,S,614,H,650
173,3,1,630,T,H,650,W,722
173,3,2,1300,T,W,722,H,650
174,1,1,800,B,H,650,W,434
174,1,2,1700,B,W,434,H,650
175,1,1,700,D,H,650,M,618
175,1,2,845,D,M,618,H,650
175,2,1,700,D,H,650,W,642
175,2,2,1200,D,W,642,F,618
175,2,3,1210,D,F,618,H,650
175,3,1,700,W,H,650,S,618
175,3,2,1400,W,S,618,H,650
175,4,1,730,S,H,650,S,618
175,4,2,1400,P,S,618,H,650
175,5,1,730,S,H,650,S,618
175,5,2,1400,P,S,618,H,650
176,1,1,1000,W,H,82,E,77
176,1,2,1240,W,E,77,H,82
177,1,1,800,W,H,77,W,79
177,1,2,1800,W,W,79,H,77
177,2,1,815,W,H,77,M,76
177,2,2,1000,W,M,76,H,77
177,3,1,800,W,H,77,S,558
177,3,2,1400,W,S,558,H,77
177,4,1,530,B,H,77,S,614
177,4,2,1600,B,S,614,H,77
178,1,1,600,O,H,77,W,700
178,1,2,1500,O,W,700,H,77
178,2,1,800,W,H,77,F,79
178,2,2,910,W,F,79,H,77
178,2,3,1200,W,H,77,F,79
178,2,4,1230,W,F,79,H,77
178,3,1,600,O,H,77,W,700
178,3,2,1400,O,W,700,H,77
179,1,1,800,T,H,77,W,758
179,1,2,1400,T,W,758,H,77
179,2,1,1800,W,H,77,E,79
179,2,2,2000,W,E,79,H,77
180,1,1,630,D,H,755,W,708
180,1,2,1530,D,W,708,H,755
180,2,1,740,T,H,755,W,760
180,2,2,1700,T,W,760,H,755
180,3,1,750,S,H,755,S,76
180,3,2,1400,S,S,76,H,755
181,1,1,1100,D,H,755,W,79
181,1,2,1800,D,W,79,H,755
182,2,1,800,D,H,755,W,80
182,2,2,1600,D,W,80,H,755
183,1,1,745,B,H,674,W,231
183,1,2,1800,B,W,231,H,674
184,1,1,1200,W,H,747,O,747
184,1,2,1300,W,O,63,H,747
185,1,1,615,W,H,747,W,748
185,1,2,1400,W,W,748,H,747
186,3,1,730,S,H,621,S,674
186,3,2,1400,S,S,674,H,621
186,4,1,730,S,H,621,S,674
186,4,2,1400,S,S,674,H,621
187,1,1,800,D,H,621,W,621
187,1,2,1700,D,W,621,H,621
187,2,1,720,B,H,621,S,727
187,2,2,1440,B,S,727,H,621
187,3,1,615,D,H,621,S,617
187,3,2,1340,D,S,617,H,621
188,1,1,500,D,H,622,W,623
188,1,2,1500,D,W,623,H,622
188,1,3,1600,D,H,622,R,726
188,1,4,1610,D,W,726,R,713
188,1,5,1815,D,W,713,H,622
188,2,1,600,W,H,622,W,623
188,2,2,1000,W,W,623,H,622
188,2,3,1030,B,H,622,R,621
188,2,4,1400,B,W,621,H,622
188,3,1,700,B,H,622,W,636
188,3,2,1600,B,W,636,H,622
189,1,1,700,T,H,622,O,587
189,1,2,1200,T,O,587,H,622
189,1,3,740,W,H,622,S,622
189,1,4,1200,W,S,622,H,622
189,2,1,700,W,H,622,W,739
189,2,2,1700,W,W,739,H,622
189,3,1,700,W,H,622,M,623
189,3,2,1930,W,M,623,H,622
189,3,3,740,W,H,622,S,623
189,3,4,1230,W,S,623,H,622
189,3,5,1700,W,H,622,C,623
189,3,6,1730,W,S,623,H,622
189,3,7,1800,W,H,622,M,623
189,3,8,1900,W,M,623,H,622
189,3,9,1930,W,H,622,C,622
189,4,1,700,W,H,622,S,623
189,4,2,1500,W,S,623,H,622
189,5,1,740,W,H,622,S,623
189,5,2,1500,W,S,623,H,622
190,1,1,700,W,H,622,W,739
190,1,2,1700,W,W,739,H,622
190,2,1,1400,W,H,622,W,739
190,2,2,2200,W,W,739,H,622
190,3,1,700,W,H,622,W,739
190,3,2,1400,W,W,739,H,622
190,4,1,1400,W,H,622,W,739
190,4,2,2200,W,W,739,H,622
191,2,1,700,W,H,622,W,739
191,2,2,1700,W,W,739,H,622
191,4,1,700,W,H,622,W,739
191,4,2,1700,W,W,739,H,622
191,5,1,700,W,H,622,W,739
191,5,2,1700,W,W,739,H,622
192,1,1,1700,D,H,622,E,421
192,1,2,2000,D,E,421,H,622
192,2,1,1700,D,H,622,E,156
192,2,2,2000,P,E,156,H,622
192,3,1,1700,P,H,622,E,156
192,3,2,2000,P,E,156,H,622
192,4,1,1700,P,H,622,E,156
192,4,2,2000,P,E,156,H,622
193,1,1,830,B,H,622,W,611
193,1,2,1700,B,W,611,H,622
193,2,1,1730,W,H,622,M,710
193,2,2,1830,W,M,710,H,622
193,3,1,830,W,H,622,W,367
193,3,2,2045,W,W,367,H,622
194,1,1,1100,W,H,622,M,623
194,1,2,1120,W,M,623,H,622
195,2,1,740,W,H,622,W,623
195,2,2,1700,W,W,623,H,622
196,1,1,1600,W,H,706,W,623
196,1,2,2030,W,W,623,H,706
197,1,1,1400,W,H,709,M,623
197,1,2,1405,W,M,623,H,709
197,2,1,2100,W,H,709,W,623
198,1,1,600,D,H,622,W,614
198,1,2,1930,D,W,614,H,622
